File, room, poi, comment
PHOTO_0161.jpg,parking,https://nav.fosdem.org/l/c:1:243.73:221.74/,near F
PHOTO_0162.jpg,parking,https://nav.fosdem.org/l/c:1:254.57:221.54/,near F
R0017453.JPG,parking,https://nav.fosdem.org/l/c:1:243.22:222.71/,parking side F
R0017454.JPG,parking,https://nav.fosdem.org/l/c:1:232.48:222.35/,
R0017455.JPG,parking,https://nav.fosdem.org/l/c:1:255.69:222.48/,near stairs to entrance F
PHOTO_0163.jpg,path-slope-f,https://nav.fosdem.org/l/c:1:254.57:212.16/,path between parking and F
PHOTO_0164.jpg,path-slope-f,https://nav.fosdem.org/l/c:1:255.09:207.18/,path between parking and F
R0017461.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:255.1:213.54/,
R0017462.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:255.6:208.62/,
R0017463.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:255.87:204.72/,
R0017464.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:255.74:197.82/,
R0017465.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:256.44:193.5/,
R0017466.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:255.34:176.02/,
R0017467.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:255.34:173.72/,
R0017468.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:254.57:168.23/,
R0017469.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:254.68:156.29/,corner of path and slope
R0017470.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:257.75:156.29/,
R0017471.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:260.6:155.64/,
R0017472.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:270.24:154.76/,
R0017473.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:283.07:156.73/,
R0017474.JPG,path-slope-f,https://nav.fosdem.org/l/c:1:298.2:155.74/,at start of slope near foodtrucks
PHOTO_0165.jpg,path-slope-f,,
PHOTO_0166.jpg,path-slope-f,,
PHOTO_0167.jpg,path-slope-f,,
PHOTO_0168.jpg,path-slope-f,,
PHOTO_0169.jpg,path-slope-f,,
PHOTO_0170.jpg,path-slope-f,,
PHOTO_0171.jpg,path-slope-f,,
PHOTO_0172.jpg,path-slope-f,,
PHOTO_0173.jpg,path-slope-f,,
PHOTO_0174.jpg,path-slope-f,,
PHOTO_0175.jpg,path-slope-f,,
PHOTO_0176.jpg,main-avenue,https://nav.fosdem.org/l/c:1:300.26:147.34/,front of h near foodtrucks
PHOTO_0177.jpg,main-avenue,https://nav.fosdem.org/l/c:1:304.12:130.41/,in front of H building at H2 doors
PHOTO_0178.jpg,main-avenue,https://nav.fosdem.org/l/c:1:299.01:131.53/,
PHOTO_0179.jpg,h2-hall,https://nav.fosdem.org/l/c:2:291.07:135.26/,infodesk H
